"person_id","study_id","language","gender","age","education","hg_1","hg_3","hg_4","hg_7","hg_10","hg_13","pp_1","pp_6","pp_8","pp_11","pp_12","pp_14","pp_15","pp_17","mc_1","mc_2","mc_3","mc_7","mc_15","mc_18","mc_20","mc_23","hg","pp","mc","cr","cp","cc"
"01_23","01","DE","f",64,2,6,4,1,2,1,6,4,4,5,3,5,3,4,6,3,1,3,5,6,6,3,1,3.8,4.2,3.2,NA,NA,NA
"01_26","01","DE","m",20,5,3,1,4,2,1,2,5,2,2,1,2,2,2,3,4,3,3,2,3,2,2,3,1.8,2.6,2.8,NA,NA,NA
"01_27","01","DE","f",21,5,3,5,4,6,3,6,3,6,3,4,4,2,3,5,4,2,3,3,5,5,6,6,4.6,3,4.8,NA,NA,NA
"01_29","01","DE","m",59,5,5,6,2,6,5,6,4,5,4,4,4,5,4,3,5,6,4,3,6,5,5,4,5.6,4.2,4.6,NA,NA,NA
"01_30","01","DE","f",56,4,5,3,5,4,3,5,3,4,3,5,3,3,5,3,4,1,4,5,2,3,2,5,4,3.4,3.6,NA,NA,NA
"01_32","01","DE","f",50,5,4,3,4,3,2,4,3,4,4,4,4,4,5,4,4,3,4,2,4,4,4,4,3.2,4,4,NA,NA,NA
"01_33","01","DE","f",63,5,3,4,4,4,4,4,4,3,3,4,3,3,2,3,4,3,3,4,3,3,3,3,3.8,3,3.2,NA,NA,NA
"01_34","01","DE","f",58,4,5,3,1,4,1,5,3,4,3,4,3,4,3,4,5,4,5,4,5,3,4,4,3.6,3.2,4.2,NA,NA,NA
"01_35","01","DE","m",22,5,4,4,2,4,5,3,5,4,5,4,5,4,5,5,4,3,6,5,6,4,5,5,4,4.8,4.8,NA,NA,NA
"01_37","01","DE","f",20,5,6,3,3,3,4,4,3,3,2,5,4,3,2,4,3,2,4,4,4,4,3,3,4,2.8,3.4,NA,NA,NA
"01_40","01","DE","m",60,4,5,3,4,4,4,4,4,3,4,4,4,4,3,4,4,3,2,4,4,4,4,4,4,3.8,3.6,NA,NA,NA
"01_42","01","DE","m",62,3,6,1,6,1,6,6,6,6,6,1,3,6,6,4,5,1,4,5,1,3,3,4,4,5.4,3.8,NA,NA,NA
"01_43","01","DE","m",22,5,5,5,4,6,3,4,4,4,3,4,4,3,3,4,5,4,5,3,4,4,3,4,4.6,3.4,4.2,NA,NA,NA
"01_44","01","DE","f",21,5,4,4,3,3,3,4,4,4,3,5,4,2,3,3,3,2,1,3,4,3,3,3,3.6,3.2,2.6,NA,NA,NA
"01_45","01","DE","f",50,4,5,4,1,3,4,5,3,4,1,1,2,2,1,2,4,3,4,5,4,2,4,4,4.2,1.8,3.6,NA,NA,NA
"01_46","01","DE","m",43,5,6,2,1,3,2,3,1,1,1,1,1,2,1,3,4,2,3,5,1,1,1,1,3.2,1.2,2,NA,NA,NA
"01_47","01","DE","m",19,5,3,3,3,2,1,3,3,5,4,5,5,5,4,4,4,2,4,5,2,5,4,4,2.4,4.2,4.2,NA,NA,NA
"01_49","01","DE","f",19,5,5,3,1,2,1,6,4,2,2,2,6,2,5,1,3,2,1,5,3,3,2,4,3.4,3.8,2.6,NA,NA,NA
"01_50","01","DE","f",56,3,3,2,4,3,2,5,4,4,4,5,4,4,2,3,4,2,3,4,2,3,3,3,3,3.6,3.2,NA,NA,NA
"01_51","01","DE","m",63,5,5,4,3,5,4,4,3,3,3,3,3,3,3,3,3,4,4,5,3,3,4,3,4.4,3,3.4,NA,NA,NA
"01_52","01","DE","m",61,3,6,6,4,6,5,5,2,5,3,4,5,3,4,4,5,5,5,6,6,4,6,5,5.6,3.4,5,NA,NA,NA
"01_54","01","DE","f",65,4,5,6,6,5,5,4,3,6,3,5,5,3,4,5,4,2,4,5,4,4,6,6,5,3.6,4.8,NA,NA,NA
"01_55","01","DE","m",60,4,5,2,3,4,1,4,5,3,3,5,3,3,2,3,4,2,4,5,4,3,4,4,3.2,3.2,3.8,NA,NA,NA
"01_56","01","DE","f",60,4,3,3,1,3,1,1,4,3,3,1,1,1,1,4,3,4,1,5,3,5,6,3,2.2,2,3.6,NA,NA,NA
"01_57","01","DE","nb",19,5,4,4,4,5,4,5,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4.4,3.8,4.2,NA,NA,NA
"01_58","01","DE","m",61,3,4,5,5,4,4,4,4,5,2,4,4,2,4,3,5,4,5,5,5,5,5,5,4.2,3.2,5,NA,NA,NA
"01_60","01","DE","f",20,5,4,4,4,2,3,5,2,4,5,4,4,2,5,4,4,4,4,4,4,4,4,3,3.6,3.6,3.8,NA,NA,NA
"01_61","01","DE","f",57,4,6,5,1,6,6,6,4,6,4,3,6,4,3,5,4,6,4,4,4,4,6,4,5.8,4.2,4.4,NA,NA,NA
"01_63","01","DE","m",64,3,4,3,6,3,3,4,2,1,3,4,3,3,2,3,3,4,3,6,3,1,4,4,3.4,2.6,3,NA,NA,NA
"01_66","01","DE","f",19,5,3,1,3,2,3,3,1,4,2,4,3,1,3,4,4,1,5,4,3,3,2,2,2.4,2,3.2,NA,NA,NA
"01_67","01","DE","f",63,4,5,4,4,5,3,5,1,1,1,3,4,1,3,5,6,6,1,5,2,5,5,5,4.4,2,4.4,NA,NA,NA
"01_68","01","DE","f",31,4,4,4,4,4,2,3,3,4,2,4,4,1,4,4,4,4,4,4,4,3,4,5,3.4,2.8,4,NA,NA,NA
"01_69","01","DE","m",65,4,3,2,1,1,2,2,4,5,5,2,2,4,4,2,3,3,3,5,4,4,2,4,2,3.8,3.2,NA,NA,NA
"01_71","01","DE","f",56,3,4,3,1,3,2,1,2,1,2,4,4,3,2,3,4,2,2,5,3,1,1,4,2.6,2.6,2.4,NA,NA,NA
"01_72","01","DE","m",60,6,4,6,2,6,3,5,4,2,1,4,2,3,2,2,4,5,6,5,6,5,5,4,4.8,2.4,4.8,NA,NA,NA
"01_73","01","DE","m",22,5,3,4,3,3,4,4,4,5,2,5,5,2,3,4,4,3,4,5,2,3,2,4,3.6,3.2,3.4,NA,NA,NA
"01_74","01","DE","f",22,5,1,1,1,2,1,3,5,5,2,4,4,6,4,4,6,5,4,1,3,5,5,5,1.6,4.2,5,NA,NA,NA
"01_75","01","DE","f",18,5,3,3,4,4,2,3,5,4,4,3,4,4,4,4,5,4,4,4,4,4,3,4,3,4.2,4,NA,NA,NA
"01_77","01","DE","f",20,5,3,3,4,4,4,4,4,4,3,5,6,3,4,3,3,3,3,5,4,4,3,4,3.6,4,3.4,NA,NA,NA
"01_79","01","DE","f",60,5,4,3,1,2,2,5,2,4,2,4,4,2,4,4,4,2,4,4,4,4,4,4,3.2,2.8,4,NA,NA,NA
"01_80","01","DE","f",39,6,6,6,6,6,6,6,2,3,3,4,5,1,5,5,1,3,1,6,6,3,2,1,6,3.2,1.6,NA,NA,NA
"01_82","01","DE","f",22,6,4,4,2,3,3,5,5,5,2,6,5,3,3,4,4,3,3,5,5,3,4,4,3.8,3.6,3.6,NA,NA,NA
"01_88","01","DE","f",59,4,4,2,4,4,3,4,3,2,2,5,3,2,2,3,4,3,5,4,4,5,3,4,3.4,2.4,4.2,NA,NA,NA
"01_89","01","DE","f",58,3,2,2,5,4,4,5,5,5,5,5,5,3,4,4,5,4,4,5,5,3,4,4,3.4,4.4,4,NA,NA,NA
